Time (s),Frequency 1 (Hz),Frequency 2 (Hz),Frequency 3 (Hz)
0.0,2860.0,9594.0,16328.0
0.5,2860.0,9594.0,16380.0
1.0,2054.0,8918.0,15886.0
1.5,234.0,7358.0,14456.0
2.0,312.0,7592.0,14924.0
2.5,1404.0,8372.0,15392.0
3.0,3770.0,10478.0,17238.0
3.5,4446.0,11154.0,17914.0
4.0,3822.0,10608.0,17420.0
4.5,1066.0,8216.0,15496.0
5.0,234.0,7280.0,14326.0
5.5,1196.0,8060.0,14924.0
6.0,2392.0,9178.0,15990.0
6.5,2574.0,9386.0,16276.0
7.0,2600.0,9308.0,16042.0
7.5,2860.0,9646.0,16458.0
8.0,2652.0,9516.0,16432.0
8.5,182.0,7150.0,14222.0
9.0,2496.0,9308.0,16198.0
9.5,2886.0,9672.0,16562.0
10.0,2860.0,9620.0,16406.0
10.5,2860.0,9646.0,16484.0
11.0,2886.0,9750.0,16692.0
11.5,3328.0,10166.0,17056.0
12.0,1872.0,8762.0,15704.0
12.5,390.0,7748.0,15080.0
13.0,962.0,8242.0,15782.0
13.5,3380.0,10374.0,17550.0
14.0,3770.0,10634.0,17576.0
14.5,3952.0,10868.0,17888.0
15.0,3952.0,10764.0,17732.0
15.5,1404.0,8320.0,15288.0
16.0,1768.0,8684.0,15678.0
16.5,2912.0,9750.0,16718.0
17.0,3744.0,10582.0,17498.0
17.5,3718.0,10478.0,17290.0
18.0,3718.0,10452.0,17238.0
18.5,3328.0,10140.0,16978.0
19.0,702.0,7748.0,14924.0
19.5,286.0,7358.0,14560.0
20.0,234.0,7306.0,14430.0
20.5,312.0,7540.0,14742.0
21.0,3744.0,10530.0,17394.0
21.5,1300.0,8476.0,15808.0
22.0,390.0,7696.0,15054.0
22.5,260.0,7410.0,14612.0
23.0,156.0,7072.0,14014.0
23.5,884.0,8138.0,15392.0
24.0,338.0,7618.0,14924.0
24.5,572.0,8190.0,15912.0
25.0,806.0,8528.0,16354.0
25.5,806.0,8008.0,15288.0
26.0,364.0,7618.0,14976.0
26.5,442.0,7956.0,15444.0
27.0,780.0,8736.0,16874.0
27.5,572.0,8190.0,16016.0
28.0,3796.0,10556.0,17368.0
28.5,1196.0,8086.0,15054.0
29.0,390.0,7618.0,14924.0
29.5,1274.0,8580.0,16120.0
30.0,780.0,8008.0,15444.0
30.5,572.0,7852.0,15444.0
31.0,1170.0,8554.0,16224.0
31.5,1196.0,8580.0,16198.0
32.0,598.0,8008.0,15704.0
32.5,1404.0,8788.0,16380.0
33.0,780.0,8372.0,16276.0
33.5,2080.0,9204.0,16718.0
34.0,2964.0,9958.0,17264.0
34.5,2964.0,9932.0,17108.0
35.0,2964.0,9854.0,16978.0
35.5,3250.0,10296.0,17498.0
36.0,2522.0,9568.0,16848.0
36.5,754.0,7644.0,14638.0
37.0,2990.0,10036.0,17212.0
37.5,3666.0,10504.0,17394.0
38.0,3328.0,10166.0,17056.0
38.5,2912.0,9802.0,16770.0
39.0,2912.0,9750.0,16718.0
39.5,2626.0,9438.0,16302.0
40.0,286.0,7384.0,14586.0
40.5,338.0,7670.0,14950.0
41.0,1378.0,8606.0,15964.0
41.5,3172.0,10296.0,17550.0
42.0,4446.0,11206.0,18018.0
42.5,4264.0,10998.0,17758.0
43.0,2106.0,8944.0,15860.0
43.5,988.0,8190.0,15470.0
44.0,832.0,8008.0,15106.0
44.5,2158.0,9100.0,16172.0
45.0,2470.0,9490.0,16640.0
45.5,2730.0,9724.0,16926.0
46.0,2860.0,9594.0,16354.0
46.5,2886.0,9646.0,16484.0
47.0,1768.0,9204.0,16848.0
47.5,1248.0,8320.0,15470.0
48.0,2964.0,9802.0,16692.0
48.5,2886.0,9646.0,16510.0
49.0,3120.0,10036.0,17082.0
49.5,2912.0,9750.0,16692.0
50.0,2938.0,9750.0,16614.0
50.5,2938.0,9672.0,16458.0
51.0,260.0,7358.0,14482.0
51.5,234.0,7306.0,14352.0
52.0,2704.0,9620.0,16692.0
52.5,3744.0,10504.0,17368.0
53.0,3770.0,10608.0,17550.0
53.5,3978.0,10868.0,17888.0
54.0,2626.0,9360.0,16146.0
54.5,988.0,8216.0,15730.0
55.0,2886.0,9672.0,16536.0
55.5,3328.0,10114.0,16952.0
56.0,3744.0,10478.0,17290.0
56.5,3718.0,10452.0,17238.0
57.0,3822.0,10634.0,17524.0
57.5,1534.0,8398.0,15288.0
58.0,1352.0,8632.0,16146.0
58.5,286.0,7462.0,14612.0
59.0,234.0,7254.0,14248.0
59.5,2886.0,9646.0,16458.0
60.0,2496.0,9282.0,16120.0
60.5,234.0,7228.0,14248.0
61.0,260.0,7254.0,14274.0
61.5,312.0,7384.0,14560.0
62.0,286.0,7332.0,14430.0
62.5,988.0,8164.0,15392.0
63.0,416.0,7774.0,15158.0
63.5,260.0,7332.0,14456.0
64.0,1092.0,8320.0,15678.0
64.5,416.0,7462.0,14508.0
65.0,260.0,7332.0,14508.0
65.5,286.0,7384.0,14560.0
66.0,338.0,7488.0,14742.0
66.5,260.0,7332.0,14456.0
67.0,832.0,8008.0,15262.0
67.5,234.0,7254.0,14326.0
68.0,286.0,7358.0,14508.0
68.5,286.0,7410.0,14560.0
69.0,390.0,7592.0,14924.0
69.5,260.0,7332.0,14482.0
70.0,2938.0,9854.0,17004.0
70.5,2912.0,9828.0,16848.0
71.0,650.0,8164.0,15938.0
71.5,1274.0,8580.0,16120.0
72.0,1482.0,8892.0,16614.0
72.5,338.0,7462.0,14612.0
73.0,390.0,7566.0,14924.0
73.5,546.0,7956.0,15626.0
74.0,364.0,7566.0,14898.0
74.5,416.0,7592.0,14924.0
75.0,364.0,7488.0,14742.0
75.5,1196.0,8268.0,15496.0
76.0,2938.0,9854.0,16926.0
76.5,2912.0,9802.0,16770.0
77.0,2886.0,9672.0,16588.0
77.5,2886.0,9672.0,16536.0
78.0,3094.0,10192.0,17446.0
78.5,1300.0,8398.0,15626.0
79.0,1976.0,9100.0,16432.0
79.5,3380.0,10270.0,17290.0
80.0,3562.0,10452.0,17472.0
80.5,2912.0,9724.0,16588.0
81.0,3094.0,10166.0,17446.0
81.5,2938.0,9776.0,16718.0
82.0,1508.0,8892.0,16640.0
82.5,884.0,8164.0,15626.0
83.0,754.0,8294.0,16146.0
83.5,2002.0,8840.0,15756.0
84.0,4316.0,11050.0,17862.0
